,symbol,assets,open,high,low,ltP,chn,per,qty,trdVal,nav,wkhi,wklo,xDt,cAct,yPC,mPC,prevClose,nearWKH,nearWKL,chartTodayPath,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,meta.symbol,meta.companyName,meta.industry,meta.activeSeries,meta.debtSeries,meta.tempSuspendedSeries,meta.isFNOSec,meta.isCASec,meta.isSLBSec,meta.isDebtSec,meta.isSuspended,meta.isETFSec,meta.isDelisted,meta.isin
0,PSUBNKBEES,Nifty PSU Bank,27.99,28.9,27.99,28.85,1.02,3.67,1236801,35347772.58,,35.8,24.07,19-DEC-19, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- TO RS 1/-,4.7947693425354165,2.5595449697831585,27.83,19.41340782122904,-19.85874532613212,https://static.nseindia.com/sparklines/today/PSUBNKBEESEQN.jpg,1.09,06-Jul-2021,https://static.nseindia.com/sparklines/365d/PSUBNKBEES-EQ.jpg,06-Jun-2022,-1.07,https://static.nseindia.com/sparklines/30d/PSUBNKBEES-EQ.jpg,PSUBNKBEES,NIPPON INDIA ETF PSU BANK BEES,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF204KB16I7
1,KOTAKPSUBK,Nifty PSU Bank,250,257.5,250,257.5,8.05,3.23,13268,3373787.04,,305.9,217.05,09-MAR-17, DIVIVEND - RS 7/- PER UNIT,4.310135299359955,2.202818019448308,249.45,15.822164105916961,-18.63625892651462,https://static.nseindia.com/sparklines/today/KOTAKPSUBKEQN.jpg,1.05,06-Jul-2021,https://static.nseindia.com/sparklines/365d/KOTAKPSUBK-EQ.jpg,06-Jun-2022,-0.99,https://static.nseindia.com/sparklines/30d/KOTAKPSUBK-EQ.jpg,KOTAKPSUBK,Kotak Mahindra Mutual Fund,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF373I01023
2,KOTAKIT,NIFTY IT Index,28.64,29.09,28.22,29,0.63,2.22,50421,1456158.48,,46,24,-,-,0.5547850208044388,-4.605263157894733,28.37,36.95652173913044,-20.833333333333332,https://static.nseindia.com/sparklines/today/KOTAKITEQN.jpg,-1.63,06-Jul-2021,https://static.nseindia.com/sparklines/365d/KOTAKIT-EQ.jpg,06-Jun-2022,-6.68,https://static.nseindia.com/sparklines/30d/KOTAKIT-EQ.jpg,KOTAKIT,Kotak Mahindra Mutual Fund - KOTAK IT ETF - Kotak IT ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF174KA1GC5
3,UTIBANKETF,Nifty Bank,34.8,35.23,34.75,35.23,0.73,2.12,6325,220805.75,,45,31.99,17-FEB-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER UNIT TO RE 1/- PER UNIT,-0.816441441441459,-0.7605633802816989,34.5,21.71111111111112,-10.128165051578614,https://static.nseindia.com/sparklines/today/UTIBANKETFEQN.jpg,-2.87,06-Jul-2021,https://static.nseindia.com/sparklines/365d/UTIBANKETF-EQ.jpg,06-Jun-2022,-2.82,https://static.nseindia.com/sparklines/30d/UTIBANKETF-EQ.jpg,UTIBANKETF,UTI Nifty Bank ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF789F1AUV1
4,ABSLBANETF,Nifty Bank,34.05,34.95,34.05,34.95,0.69,2.01,4907,170125.69,,415.21,29,25-NOV-21, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RE 1/- PER SHARE,-90.11874469889737,-0.7102272727272727,34.26,91.58257267406854,-20.517241379310352,https://static.nseindia.com/sparklines/today/ABSLBANETFEQN.jpg,-90.31,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ABSLBANETF-EQ.jpg,06-Jun-2022,-2.67,https://static.nseindia.com/sparklines/30d/ABSLBANETF-EQ.jpg,ABSLBANETF,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Banking ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF209KB17D5
5,ICICIB22,S&P BSE BHARAT 22 index,46.54,47,46.08,46.98,0.9,1.95,65791,3067176.42,,52.7,38.2,-,-,17.361978516112902,-2.328482328482338,46.08,10.853889943074014,-22.98429319371726,https://static.nseindia.com/sparklines/today/ICICIB22EQN.jpg,15.11,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICIB22-EQ.jpg,06-Jun-2022,-4.2,https://static.nseindia.com/sparklines/30d/ICICIB22-EQ.jpg,ICICIB22,ICICI Prudential Mutual Fund - BHARAT 22 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KB15Y7
6,SETFNIFBK,Nifty Bank,348,350,344,350,6.55,1.91,50123,17430774.48,,420,316.2,02-NOV-17, DIVIDEND - RS 3.50 PER UNIT,-1.3083690503045304,-0.8975847325650581,343.45,16.666666666666668,-10.689437065148644,https://static.nseindia.com/sparklines/today/SETFNIFBKEQN.jpg,-3.16,06-Jul-2021,https://static.nseindia.com/sparklines/365d/SETFNIFBK-EQ.jpg,06-Jun-2022,-2.75,https://static.nseindia.com/sparklines/30d/SETFNIFBK-EQ.jpg,SETFNIFBK,SBI-ETF Nifty Bank,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF200KA1580
7,MONQ50,Nasdaq Q-50 Total Return Index,53.7,54,52.2,53.85,0.99,1.87,3720,198908.4,,78,45,-,-,Infinity,2.845683728036673,52.86,30.96153846153846,-19.666666666666668,https://static.nseindia.com/sparklines/today/MONQ50EQN.jpg,-,-,-,06-Jun-2022,0.95,https://static.nseindia.com/sparklines/30d/MONQ50-EQ.jpg,MONQ50,Motilal Oswal Mutual Fund - Motilal Oswal Nasdaq Q 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF247L01AU3
8,ICICIBANKN,Nifty Bank,352,352,342.8,349.89,6.42,1.87,20798,7234584.3,,449.7,298.5,-,-,-1.0967577804788409,-1.0044137618832083,343.47,22.194796531020682,-17.216080402010043,https://static.nseindia.com/sparklines/today/ICICIBANKNEQN.jpg,-2.91,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICIBANKN-EQ.jpg,06-Jun-2022,-2.82,https://static.nseindia.com/sparklines/30d/ICICIBANKN-EQ.jpg,ICICIBANKN,ICICI Prudential Nifty Bank ETF - NIFTY BANK INDEX,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KC1E27
9,AXISBNKETF,Nifty Bank,348.55,351.49,347.72,351.38,6.38,1.85,1437,502145.28,,449.4,320,-,-,-1.2172837423744016,-1.1339016910047632,345,21.811303960836668,-9.806249999999999,https://static.nseindia.com/sparklines/today/AXISBNKETFEQN.jpg,-3.01,06-Jul-2021,https://static.nseindia.com/sparklines/365d/AXISBNKETF-EQ.jpg,06-Jun-2022,-2.93,https://static.nseindia.com/sparklines/30d/AXISBNKETF-EQ.jpg,AXISBNKETF,AXIS MUTUAL FUND - Axis NIFTY Bank ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF846K01X63
10,KOTAKALPHA,NIFTY Alpha 50 Index,25.65,26.41,25.53,26.1,0.47,1.83,4237157,110801655.55,,41,24.36,-,-,Infinity,-8.581436077057791,25.63,36.34146341463414,-7.142857142857151,https://static.nseindia.com/sparklines/today/KOTAKALPHAEQN.jpg,-,-,-,06-Jun-2022,-10.23,https://static.nseindia.com/sparklines/30d/KOTAKALPHA-EQ.jpg,KOTAKALPHA,Kotak Mahindra Mutual Fund - Kotak Nifty Alpha 50 ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF174KA1IA5
11,CPSEETF,CPSE ETF,31.19,31.59,31.1,31.47,0.56,1.81,1693182,53182846.62,,38.8,24.3,-,-,20.160366552119118,-10.265183917878533,30.91,18.891752577319583,-29.506172839506164,https://static.nseindia.com/sparklines/today/CPSEETFEQN.jpg,18.02,06-Jul-2021,https://static.nseindia.com/sparklines/365d/CPSEETF-EQ.jpg,06-Jun-2022,-11.86,https://static.nseindia.com/sparklines/30d/CPSEETF-EQ.jpg,CPSEETF,CPSE ETF,MUTUAL FUND,['EQ'],[],[],False,False,True,False,False,True,False,INF457M01133
12,HBANKETF,Nifty Bank,337.75,351,337.75,350.83,6.21,1.80,2551,890426.55,,419.95,305.9,-,-,-1.3136427566807358,-0.9094760627030157,344.62,16.459102274080248,-14.687806472703501,https://static.nseindia.com/sparklines/today/HBANKETFEQN.jpg,-3.06,06-Jul-2021,https://static.nseindia.com/sparklines/365d/HBANKETF-EQ.jpg,06-Jun-2022,-2.66,https://static.nseindia.com/sparklines/30d/HBANKETF-EQ.jpg,HBANKETF,HDFC Mutual Fund - HDFC Banking ETF,,['EQ'],[],[],False,False,True,False,False,True,False,INF179KC1AN8
13,ICICIBANKP,Nifty Private Bank Index,170.03,174.15,170.03,174.15,3.01,1.76,73005,12629865,,227.7,161.5,-,-,-5.1160509970578545,-2.546166759932839,171.14,23.517786561264817,-7.832817337461303,https://static.nseindia.com/sparklines/today/ICICIBANKPEQN.jpg,-6.76,06-Jul-2021,https://static.nseindia.com/sparklines/365d/ICICIBANKP-EQ.jpg,06-Jun-2022,-4.23,https://static.nseindia.com/sparklines/30d/ICICIBANKP-EQ.jpg,ICICIBANKP,ICICI Prudential Nifty Private Bank ETF - NIFTY PRIVATE BANK INDEX,,['EQ'],[],[],False,False,True,False,False,True,False,INF109KC1E35
